nom;activite;adresseL;atL;on;type;categorie
UGC CINE CITE BERCY 10;;2 COUR SAINT-EMILION;48.833007; 2.38666;L;1
GRAND REX;;1 A 5 BOULEVARD POISSONNIERE;48.870623; 2.347254;L;1
UGC CINE CITE LES HALLES 1;;FORUM DES HALLES;48.859784; 2.346717;L;1
MK2 BIBLIOTHEQUE A;;128 A 162 AVENUE DE FRANCE;48.833739; 2.373946;L;1
GAUMONT PARNASSE 1;;3 RUE D'ODESSA;48.843074; 2.324424;L;1
UGC CINE CITE PARIS 19 (1);;166 BOULEVARD MACDONALD;48.898991; 2.376757;L;1
GAUMONT AQUABOULEVARD 1;;8/16 RUE DU COLONEL PIERRE AVIA;48.830425; 2.276308;L;1
GAUMONT OPERA CAPUCINES 2;;2/4 BOULEVARD DES CAPUCINES;48.871044; 2.33361;L;1
PATHE WEPLER 8;;132 -140 BOULEVARD DE CLICHY;48.883938; 2.328034;L;1
GAUMONT CHAMPS ELYSEES MARIGNAN 3;;27/33 AVENUE DES CHAMPS ELYSEES;48.869654; 2.306873;L;1
GEORGE V 4;;146 AVENUE DES CHAMPS ELYSEES;48.873073; 2.298394;L;1
UGC NORMANDIE 2;;116 AVENUE DES CHAMPS ELYSEES;48.872265; 2.300938;L;1
UGC MONTPARNASSE 1;;83 BOULEVARDD DU MONTPARNASSE;48.84351; 2.325646;L;1
GAUMONT CHAMPS ELYSEES AMBASSADE 7;;50 AVENUE DES CHAMPS ELYSEES;48.870374; 2.306888;L;1
ETOILE LILAS 1;;PLACE DU MAQUIS DU VERCORS;48.877997; 2.409436;L;2
GAUMONT ALESIA 1;;73 AVENUE DU GENERAL LECLERC;48.828166; 2.327463;L;2
UGC LYON BASTILLE 3;;12 RUE DE LYON;48.847502; 2.371855;L;2
MK2 GAMBETTA 1;;6 RUE BELGRAND;48.864763; 2.399555;L;2
GAUMONT GOBELINS 1;;58 AVENUE DES GOBELINS;48.833574; 2.353775;L;2
UGC GOBELINS 3;;66 BIS AVENUE DES GOBELINS;48.832888; 2.354241;L;2
GAUMONT OPERA PREMIER 1;;32 RUE LOUIS LEGRAND;48.870632; 2.334338;L;2
MK2 QUAI DE LOIRE 1;;5/19 QUAI DE LA LOIRE;48.885067; 2.374123;L;2
GAUMONT CONVENTION 2;;27 A 31 RUE ALAIN CHARTIER;48.838038; 2.295831;L;2
BRETAGNE 1;;73 BOULEVARD DU MONTPARNASSE;48.843752; 2.324925;L;2
GAUMONT OPERA FRANCAIS 8;;38 BOULEVARD DES ITALIENS;48.871048; 2.334386;L;2
MK2 QUAI DE SEINE 1;;14 QUAI DE LA SEINE;48.885073; 2.371493;L;2
MK2 NATION 1;;133 BOULEVARD DIDEROT;48.848213; 2.39311;L;2
MISTRAL 2;;70 AVENUE DU GENERAL LECLERC;48.829473; 2.328009;L;2
PARNASSIEN 1;;98 BOULEVARD DU MONTPARNASSE;48.842443; 2.327625;L;2
UGC ODEON 2;;124 BOULEVARD ST GERMAIN;48.852353; 2.339834;L;2
MK2 ODEON 2;;113 BOULEVARD ST GERMAIN;48.852437; 2.338266;L;2
UGC MAILLOT 3;;PALAIS CONGRES PLACE PORTE MAILLOT;48.879964; 2.283381;L;2
UGC OPERA 1;;32 BOULEVARDD DES ITALIENS;48.871332; 2.335302;L;2
FORUM ORIENT EXPRESS 1;;1 RUE DE L'ORIENT-EXPRESS;48.861661; 2.347857;L;3
MK2 HAUTEFEUILLE 1;;7 RUE HAUTEFEUILLE;48.852188; 2.342788;L;3
UGC DANTON 1;;99 BOULEVARD ST GERMAIN;48.852138; 2.338995;L;3
MAJESTIC PASSY 1;;18 - 20 RUE DE PASSY;48.858204; 2.282104;L;3
PUBLICIS CINEMA 2;;133 AVENUE DES CHAMPS ELYSEES;48.872794; 2.296984;L;3
L'ARLEQUIN PANORAMA;;76 RUE DE RENNES;48.851278; 2.330648;L;3
