iderp;nom;activite;adresse;lat;lon;type;categorie
;LAYONE;COMM. DE DÉT. D'ARTICLES D'HORLOGERIE ET DE BIJOUTERIE EN MAGASIN SPÉCIALISÉ;2 R LAMARTINE 75009;48,876575;2,344125;M;
;LE PETIT DESORDRE;COMMERCE DE DÉTAIL DE MEUBLES;94 R NOLLET 75017;48,888158;2,319446;M;
;F & A TELECOM;COMMERCE D'ALIMENTATION GÉNÉRALE;75 BD DE LA VILLETTE 75010;48,876814;2,371245;M;
;LES MARIEES FOX;COMMERCE DE DÉTAIL D'HABILLEMENT EN MAGASIN SPÉCIALISÉ;147 BD AUGUSTE BLANQUI 75013;48,831072;2,34247;M;
;Les Salons MAYA;COIFFURE;46 R PONCELET 75017;48,880338;2,299392;M;
;LES SAVEURS DU MONDE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE BOISSONS;12 R DE PORT MAHON 75002;48,869803;2,334058;M;
;LES TAPIS LUXE;AUTRES COMMERCES DE DÉTAIL SUR ÉVENTAIRES ET MARCHÉS;7 R CURNONSKY 75017;48,890822;2,297093;M;
;LES TERRES ESSENTIELLES;COMMERCE DE DÉTAIL DE PARFUMERIE ET DE PRODUITS DE BEAUTÉ EN MAGASIN SPÉCIALISÉ;55 RTE DE MANTES 78240;48,907756;2,044347;M;
;ERBALAB;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;47 R DE PONTHIEU 75008;48,871571;2,306487;M;
;ETEASE;COMM. DE DÉTAIL D'ORDINATEURS  D'UNITÉS PÉRIPH. ET DE LOGI. EN MAG. SPÉCIALISÉ;6 R TACLET 75020;48,871282;2,397466;M;
;TECHNO COM;COMM. DE DÉTAIL D'ORDINATEURS  D'UNITÉS PÉRIPH. ET DE LOGI. EN MAG. SPÉCIALISÉ;2 ALL DE LA PAIX 92220;48,79221;2,313108;M;
;TEKCAR;COMMERCE DE GROS D'ÉQUIPEMENTS AUTOMOBILES;10 R DU COLISEE 75008;48,870547;2,307978;M;
;LE VIN DE BLAISE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE BOISSONS;34 R DU DOCTEUR BLANCHE 75016;48,853985;2,2653;M;
;LES DOIGTS D'UNE FEE;COMMERCE DE DÉTAIL D'HABILLEMENT EN MAGASIN SPÉCIALISÉ;78 R RENE BOULANGER 75010;48,869303;2,357495;M;
;LOLIE SHOP;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE TEXTILES;5 VLA RONSARD 95550;49,038059;2,210535;M;
;FRANCEBATT;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MATÉRIEL ÉLECTRIQUE;53 AV DE L'EPINETTE 77100;48,959673;2,910377;M;
;FUNOA;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D'AUTRES BIENS DOMESTIQUES;38 R DE L'ANNONCIATION 75016;48,857333;2,278353;M;
;GAMBETTA SHOP;COMM. DE DÉTAIL D'ORDINATEURS  D'UNITÉS PÉRIPH. ET DE LOGI. EN MAG. SPÉCIALISÉ;9 R DU CHER 75020;48,864586;2,399899;M;
;LESSOL;COMM. DE GROS (COMM. INTERENT.) D'APPAREILS SANITAIRES ET PROD. DE DÉCORATION;38 R DE BERRI 75008;48,873879;2,30699;M;
;LFM FACTORY;PÂTISSERIE;12 R MANUEL 75009;48,878414;2,340185;M;
;FIT AND CAYS;COMMERCE DE DÉTAIL DE PAIN  PÂTISSERIE ET CONFISERIE EN MAGASIN SPÉCIALISÉ;106 R MOUFFETARD 75005;48,84099;2,349573;M;
;FLOCON;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) ALIMENTAIRE SPÉCIALISÉ DIVERS;13 R DE CHANALEILLES 75007;48,853111;2,318107;M;
;France Hearing Care;COMMERCE DE DÉTAIL D'ARTICLES MÉDICAUX ET ORTHOPÉDIQUES EN MAGASIN SPÉCIALISÉ;13 R MARMONTEL 75015;48,837047;2,299938;M;
;GAIA HITEK;COMM. DE GROS (COMM. INTERENT.) D'ORDI.  D'ÉQUI. INFO. PÉRIPHÉRIQUES ET LOGI.;4 R FIRMIN GILLOT 75015;48,832969;2,289885;M;
;WEB AUTO STORE;COMMERCE DE VOITURES ET DE VÉHICULES AUTOMOBILES LÉGERS;26 R DE LA CHAPELLE 75018;48,892004;2,359798;M;
;YWL PARIS;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D'HABILLEMENT ET DE CHAUSSURES;36 BD DU TEMPLE 75011;48,865369;2,365722;M;
;JOUL;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MATÉRIEL ÉLECTRIQUE;55 R DU FAUBOURG MONTMARTRE 75009;48,87537;2,340657;M;
;GC DISTRIBUTIONS;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) ALIMENTAIRE SPÉCIALISÉ DIVERS;3 R DE TEHERAN 75008;48,875573;2,312679;M;
;LIBRAIRIE ALLEMANDE;COMMERCE DE DÉTAIL DE LIVRES EN MAGASIN SPÉCIALISÉ;5 R FREDERIC SAUTON 75005;48,851046;2,349204;M;
;LIBRAIRIE DU CANAL;COMMERCE DE DÉTAIL DE JOURNAUX ET PAPETERIE EN MAGASIN SPÉCIALISÉ;3 R EUGENE VARLIN 75010;48,877829;2,365141;M;
;SARL GERY DISTRIBUTION;COMMERCE D'ALIMENTATION GÉNÉRALE;7 BD CHASTENET DE GERY 94800;48,802136;2,356243;M;
;SARL HAS;COMMERCE DE DÉTAIL D'HABILLEMENT EN MAGASIN SPÉCIALISÉ;109 AV PAUL VAILLANT COUTURIER 93120;48,922989;2,412742;M;
;SARL HITACHE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;136 R DE SAUSSURE 75017;48,889082;2,307914;M;
;J2MN;COMMERCE DE DÉTAIL DE LA CHAUSSURE;16 R DE VEZELAY 75008;48,878645;2,313912;M;
;VS9;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;45 AV VICTOR HUGO 93300;48,90352;2,37198;M;
;KLIN D'OEIL;AUTRES COMMERCES DE DÉTAIL EN MAGASIN NON SPÉCIALISÉ;6 R DEGUERRY 75011;48,868518;2,37303;M;
;LA MIE QUI VOUS VEUT DU BIEN;BOULANGERIE ET BOULANGERIE-PÂTISSERIE;50 R DE LA REUNION 75020;48,854844;2,40192;M;
;SARL TAFATHE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;41 BD SERURIER 75019;48,878079;2,403449;M;
;SARL TAFATHE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;41 BD SERURIER 75019;48,878079;2,403449;M;
;SARL NICDAN;BOULANGERIE ET BOULANGERIE-PÂTISSERIE;50 R BELGRAND 75020;48,864542;2,405228;M;
;HORON CASH & CARRY;COMMERCE D'ALIMENTATION GÉNÉRALE;152/154 R MAURICE BERTEAUX 95870;48,930727;2,207498;M;
;PARIS BOX;COMMERCE DE DÉTAIL DE PARFUMERIE ET DE PRODUITS DE BEAUTÉ EN MAGASIN SPÉCIALISÉ;241 R DE TOLBIAC 75013;48,826221;2,342593;M;
;P.G.M.;AUTRES COMMERCES DE DÉTAIL SPÉCIALISÉS DIVERS;3 BD CHARLES DE GAULLE 91800;48,694543;2,504114;M;
;LABONNEAFFAIRE.COM;AUTRES COMMERCES DE DÉTAIL SUR ÉVENTAIRES ET MARCHÉS;18 PL DE FRANCE 95200;48,977411;2,376028;M;
;MASSABOVA BOOKING SAS;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D'AUTRES BIENS DOMESTIQUES;126 R DE TURENNE 75003;48,864051;2,364816;M;
;VS9;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;45 AV VICTOR HUGO 93300;48,90352;2,37198;M;
;COTE TALENTS;AUTRES ENSEIGNEMENTS;27 R CAVENDISH 75019;48,883313;2,379623;M;
;LA SIGNATURE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;80 R DE MENILMONTANT 75020;48,868964;2,390852;M;
;ART PENICAUT CONSULTING;AUTRES COMMERCES DE DÉTAIL SPÉCIALISÉS DIVERS;4 R LAS CASES 75007;48,857936;2,322209;M;
;MM;AUTRES COMMERCES DE DÉTAIL SPÉCIALISÉS DIVERS;58 R DU GENERAL LECLERC 77100;48,959715;2,879678;M;
;MONSTER SERVICES;COMMERCE DE VOITURES ET DE VÉHICULES AUTOMOBILES LÉGERS;5 ALL DU MIDI 94310;48,750598;2,409122;M;
;MY BOOTY IS BEAUTIFUL;COMMERCE DE DÉTAIL D'HABILLEMENT EN MAGASIN SPÉCIALISÉ;88 QU DE LA LOIRE 75019;48,88732;2,378912;M;
;SAMSOE & SAMSOE FRANCE S.A.R.L.;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D'HABILLEMENT ET DE CHAUSSURES;70 AV DE CLICHY 75017;48,8879;2,325103;M;
;SARL SIMAX;COMMERCE DE DÉTAIL DE PARFUMERIE ET DE PRODUITS DE BEAUTÉ EN MAGASIN SPÉCIALISÉ;15 R DE MENILMONTANT 75020;48,867436;2,384321;M;
;RM AUTO;COMMERCE DE VOITURES ET DE VÉHICULES AUTOMOBILES LÉGERS;13 ALL AMBROISE LAMBERT 77500;48,884357;2,587559;M;
;Elite Services;COMM. DE GROS (COMM. INTERENT.) DE FOURN. ET ÉQUI. DIV. POUR LE COMM. ET SERV.;34 AV DE STALINGRAD 93170;48,874711;2,427424;M;
;AUTOMOBILES BEAURIVAGE;COMMERCE DE VOITURES ET DE VÉHICULES AUTOMOBILES LÉGERS;112 AV KLEBER 75016;48,864234;2,287817;M;
;AVIE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;27 R DE LA CHAPELLE 75018;48,89218;2,359667;M;
;BEAUTE DISCOUNT;COMMERCE DE DÉTAIL DE PARFUMERIE ET DE PRODUITS DE BEAUTÉ EN MAGASIN SPÉCIALISÉ;109 R LECOURBE 75015;48,842464;2,302536;M;
;BESNIER BRON HUGO;COMMERCE DE DÉTAIL D'ÉQUIPEMENTS AUTOMOBILES;33 R BRUNEL 75017;48,878942;2,287508;M;
;BIG BROTHER DISTRIBUTION;COMM. DE GROS (COMM. INTERENT.) DE COMPOSANTS ET D'ÉQUI. ÉLECTRO. ET TÉLÉCOM.;21 R DES ROSIERS 77500;48,886559;2,618953;M;
;LESSOL;COMM. DE GROS (COMM. INTERENT.) D'APPAREILS SANITAIRES ET PROD. DE DÉCORATION;38 R DE BERRI 75008;48,873879;2,30699;M;
;MBF TRADING;COMM. DE GROS (COMM. INTERENT.) DE COMPOSANTS ET D'ÉQUI. ÉLECTRO. ET TÉLÉCOM.;7 PL DU 11 NOVEMBRE 1918 93000;48,909025;2,442236;M;
;MESHECTARES.COM;COMM. DE GROS (COMM. INTERENT.) CÉRÉ.  TABAC NON MANU.  SEM. ET ALIM. BÉTAIL;1 RTE DE GAMBAISEUIL 78950;48,774061;1,677962;M;
;BOYS IN THE WOOD;COMMERCE DE DÉTAIL DE MEUBLES;9 R EMILE ALLEZ 75017;48,882577;2,289371;M;
;RAY JUST ENERGY FRANCE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE BOISSONS;32 AV PIERRE 1ER DE SERBIE 75008;48,86769;2,299959;M;
;TEKCAR;COMMERCE DE GROS D'ÉQUIPEMENTS AUTOMOBILES;10 R DU COLISEE 75008;48,870547;2,307978;M;
;BRUT D'ARGAN;COMM. DE GROS (COMM. INTERENTREPRISES) DE PARFUMERIE ET DE PRODUITS DE BEAUTÉ;7 R BROCA 75005;48,838781;2,349001;M;
;MOEBIUS MENTORING;AUTRES ENSEIGNEMENTS;57 BD ARAGO 75013;48,834743;2,344374;M;
;ARC EN CIEL;COMMERCE DE DÉTAIL DE LIVRES EN MAGASIN SPÉCIALISÉ;3 R JEAN MACE 75011;48,852842;2,384173;M;
;WATTINNE PARIS;COMMERCE DE DÉTAIL D'HABILLEMENT EN MAGASIN SPÉCIALISÉ;24 R DE POITOU 75003;48,861625;2,362824;M;
;SARL APERO LA PERLE;COMMERCE D'ALIMENTATION GÉNÉRALE;29 BD GABRIEL PERI 95110;48,967296;2,262362;M;
;CARTE GRISE INSTANTANEE;COMMERCE DE VOITURES ET DE VÉHICULES AUTOMOBILES LÉGERS;42 QU SADI CARNOT 77100;48,95587;2,880788;M;
;Cercle de La Horla;AUTRES COMMERCES DE DÉTAIL SPÉCIALISÉS DIVERS;37 R DE GRENELLE 75007;48,853978;2,326857;M;
;ARZA KIOSQUE;COMMERCE DE DÉTAIL DE JOURNAUX ET PAPETERIE EN MAGASIN SPÉCIALISÉ;12 AV EDOUARD VAILLANT 92150;48,862983;2,210334;M;
;Elite Services;COMM. DE GROS (COMM. INTERENT.) DE FOURN. ET ÉQUI. DIV. POUR LE COMM. ET SERV.;34 AV DE STALINGRAD 93170;48,874711;2,427424;M;
;ATEK OFFICE;COMM. DE GROS (COMM. INTERENT.) D'AUTRES MACHINES ET ÉQUIPEMENTS DE BUREAU;5 AV DE VILLIERS 75017;48,881582;2,314585;M;
;AU BON PAIN DE JAURES;BOULANGERIE ET BOULANGERIE-PÂTISSERIE;42 AV JEAN JAURES 75019;48,88356;2,373815;M;
;SASU MILA;COMMERCE DE DÉTAIL DE PARFUMERIE ET DE PRODUITS DE BEAUTÉ EN MAGASIN SPÉCIALISÉ;6 R DE LANCRY 75010;48,868938;2,360162;M;
;LESSOL;COMM. DE GROS (COMM. INTERENT.) D'APPAREILS SANITAIRES ET PROD. DE DÉCORATION;38 R DE BERRI 75008;48,873879;2,30699;M;
;VERGER VAUGIRARD 212;COMMERCE D'ALIMENTATION GÉNÉRALE;212 R DE VAUGIRARD 75015;48,841049;2,306108;M;
;GC DISTRIBUTIONS;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) ALIMENTAIRE SPÉCIALISÉ DIVERS;3 R DE TEHERAN 75008;48,875573;2,312679;M;
;Shoesyourvintage;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D'HABILLEMENT ET DE CHAUSSURES;4 R DE NAVARRE 75005;48,843869;2,353676;M;
;APRIL;COMMERCE DE DÉTAIL DE PARFUMERIE ET DE PRODUITS DE BEAUTÉ EN MAGASIN SPÉCIALISÉ;76/78 AV DES CHAMPS ELYSEES 75008;48,870916;2,304061;M;
;AUX BONHEURS DU JOUR;COMMERCE DE DÉTAIL ALIMENTAIRE SUR ÉVENTAIRES ET MARCHÉS;51 QU DES GRANDS AUGUSTINS 75006;48,855172;2,341686;M;
;BE MAAD;COMM. DE DÉT. D'ARTICLES D'HORLOGERIE ET DE BIJOUTERIE EN MAGASIN SPÉCIALISÉ;5 R PIERRE CHAUSSON 75010;48,87061;2,360357;M;
;SCOAC;AUTRES COMMERCES DE DÉTAIL SPÉCIALISÉS DIVERS;7 R DU MORVAN 75011;48,860017;2,38138;M;
;WEMAKEDRONES;COMMERCE DE DÉTAIL DE JEUX ET JOUETS EN MAGASIN SPÉCIALISÉ;15 R DU DOCTEUR GOUJON 75012;48,840304;2,398546;M;
;DAYMEN TEX;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D'HABILLEMENT ET DE CHAUSSURES;70 AV VICTOR HUGO 93300;48,905296;2,37442;M;
;SOSGSM;COMMERCE DE DÉTAIL DE MATÉRIELS DE TÉLÉCOMMUNICATION EN MAGASIN SPÉCIALISÉ;65 R DE LA GOUTTE D'OR 75018;48,885256;2,349516;M;
;SPEED AUTO;COMMERCE DE DÉTAIL D'ÉQUIPEMENTS AUTOMOBILES;148 AV EUGENE VARLIN 77270;48,950927;2,601086;M;
;SPORTS EN APARTE;COMMERCE DE DÉTAIL D'ARTICLES DE SPORT EN MAGASIN SPÉCIALISÉ;37 R D'AMSTERDAM 75008;48,878952;2,32689;M;
;GL COIFF;COIFFURE;6 ALL URBAIN LE VERRIER 93420;48,963513;2,538937;M;
;JOUL;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE MATÉRIEL ÉLECTRIQUE;55 R DU FAUBOURG MONTMARTRE 75009;48,87537;2,340657;M;
;H PIRATE;COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ;9 R GEORGES CLEMENCEAU 77120;48,819687;3,096135;M;
;HM26;COMMERCES DE DÉTAIL D'OPTIQUE;19 BD DE MAGENTA 75010;48,870586;2,36091;M;
;BOUCHERIE DU MARCHE;COMMERCE DE DÉTAIL DE VIANDES ET DE PRODUITS À BASE DE VIANDE EN MAG. SPÉCIALISÉ;72 BD MORTIER 75020;48,868881;2,409254;M;
;boutchichnegoce;COMMERCE DE DÉTAIL DE FRUITS ET LÉGUMES EN MAGASIN SPÉCIALISÉ;3 R MARX DORMOY 75018;48,885018;2,359131;M;
;WEB AUTO STORE;COMMERCE DE VOITURES ET DE VÉHICULES AUTOMOBILES LÉGERS;26 R DE LA CHAPELLE 75018;48,892004;2,359798;M;
;SARL RAIZ TELECOM;COMMERCE DE DÉTAIL DE MATÉRIELS DE TÉLÉCOMMUNICATION EN MAGASIN SPÉCIALISÉ;8 BD HELOISE 95100;48,943012;2,25462;M;
