nom;activite;adresse;lat;lon;type;categorie
SARL CITYHALLES;RESTAURATION RAPIDE - SNACK;50 RUE RAMBUTEAU, 75003 PARIS;48.861557; 2.352209;N;
SARL HALL 1900;BAR - CAFE - PUB;64 RUE RAMBUTEAU, 75003 PARIS;48.861945; 2.35068;N;
SARL HALL 1900;BAR - CAFE - PUB;64 RUE RAMBUTEAU, 75003 PARIS;48.861945; 2.35068;N;
SNC SEBASTOS;BAR TABAC;54 BOULEVARD DE SEBASTOPOL, 75003 PARIS;48.862946; 2.350923;N;
SARL SA2H;SALON DE THE;64 BOULEVARD DE SEBASTOPOL, 75003 PARIS;48.863896; 2.351456;N;
SARL PAT LA PATATE;RESTAURANT;156 RUE SAINT MARTIN, 75003 PARIS;48.861776; 2.351793;N;
SARL PANAME CAFE;RESTAURANT;160 RUE SAINT MARTIN, 75003 PARIS;48.861917; 2.351873;N;
SARL LA FUSEE;BAR - CAFE - PUB;168 RUE SAINT MARTIN, 75003 PARIS;48.8622; 2.352035;N;
SAS SOC.NOUV. ET COMM. ACHALANDAGE;RESTAURATION RAPIDE - SNACK;11 RUE DES ARCHIVES, 75004 PARIS;48.857846; 2.354456;N;
SAS SOC.NOUV. ET COMM. ACHALANDAGE;RESTAURATION RAPIDE - SNACK;11 RUE DES ARCHIVES, 75004 PARIS;48.857846; 2.354456;N;
EURL LE JARDIN DE THE;SALON DE THE;10 RUE BRISEMICHE, 75004 PARIS;48.859441; 2.351796;N;
SARL LES FONTAINES;RESTAURATION RAPIDE - SNACK;12 RUE BRISEMICHE, 75004 PARIS;48.859692; 2.351957;N;
M VIDAL;BAR - CAFE - PUB;2 PLACE DU CHATELET, 75004 PARIS;48.857342; 2.347787;N;
M VIDAL;BAR - CAFE - PUB;16 QUAI DE GESVRES, 75004 PARIS;48.857084; 2.347823;N;
SA LE SARAH BERNHARDT;RESTAURANT;2 PLACE DU CHATELET, 75004 PARIS;48.857342; 2.347787;N;
SA PARIS MIDI;BRASSERIE;2 QUAI DE GESVRES, 75004 PARIS;48.856305; 2.350389;N;
SA PARIS MIDI;BRASSERIE;1 PLACE DE L HOTEL DE VILLE, 75004 PARIS;48.856285; 2.350625;N;
SA PARIS MIDI;BRASSERIE;1 PLACE DE L HOTEL DE VILLE, 75004 PARIS;48.856285; 2.350625;N;
SARL SORAYA;RESTAURANT;Pan coupé 11 RUE DE LA REYNIE / 17 RUE QUINCAMPOIX, 75004 PARIS;48.859892; 2.34973;N;
SARL CHEZ ELHAM;RESTAURANT;11 RUE DE LA REYNIE, 75004 PARIS;48.859892; 2.34973;N;
SARL BIPAM SUSHIWA;RESTAURANT;8 RUE DES LOMBARDS, 75004 PARIS;48.859145; 2.349926;N;
SARL O SULLIVAN PUB CHATELET;BAR - CAFE - PUB;10 RUE DES LOMBARDS, 75004 PARIS;48.859177; 2.349823;N;
SARL TOKYO BEAUBOURG BISTROT TOKYO;RESTAURANT;20 RUE DES LOMBARDS, 75004 PARIS;48.859367; 2.349446;N;
M CHARPENTIER;RESTAURANT;25 RUE QUINCAMPOIX, 75004 PARIS;48.860033; 2.349964;N;
SARL SMILING PASTA;RESTAURANT;21 RUE RAMBUTEAU, 75004 PARIS;48.860723; 2.354719;N;
SARL LES CAVES D ARGENT STOC PRIX;ALIMENTATION GENERALE;29 RUE RAMBUTEAU, 75004 PARIS;48.860919; 2.354131;N;
SNC AJ ET CIE;BAR TABAC;71 RUE DE LA VERRERIE, 75004 PARIS;48.85828; 2.352022;N;
