nom;activite;adresse;lat;lon;type;categorie
RÉSIDENCE FIORI DI CALA ROSSA;RÉSIDENCE DE TOURISME;Route de Cala Rossa, 20137, LECCI;;;O;5
VILLA CLARA CHIBERTA;RÉSIDENCE DE TOURISME;149 BOULEVARD DES PLAGES, 64600, ANGLET;;;O;5
CITADINES REPUBLIQUE PARIS;RÉSIDENCE DE TOURISME;37 BIS AVENUE PARMENTIER, 75011, PARIS;;;O;5
L'ATRIUM;RÉSIDENCE DE TOURISME;15 Cours GAMBETTA, 13100, AIX-EN-PROVENCE;;;O;5
 RÉSIDENCE LES ROCHES;RÉSIDENCE DE TOURISME;RUE DU PORT, 29250, SAINT-POL-DE-LÉON;;;O;5
RESIDENCE MARE E MACCHIA;RÉSIDENCE DE TOURISME;TIZZANO, 20100, SARTENE;;;O;5
RESIDENCE LES HAUTS DE L’AVENA;RÉSIDENCE DE TOURISME;TIZZANO, 20100, SARTENE;;;O;5
RESIDENCE LES SANGUINAIRES;RÉSIDENCE DE TOURISME;ROUTE DES SANGUINAIRES BP 818, 20192, AJACCIO;;;O;5
DOMAINE DU BOSQUET;RÉSIDENCE DE TOURISME;lieu dit lafont rue de la vedrenne, 19300, EGLETONS;;;O;5
LOCA CONFORT LES DEMEURES DE BORDA;RÉSIDENCE DE TOURISME;26 rue des Lazaristes BP 258, 40106, DAX CÉDEX;;;O;5
LES BALCONS D'OYSTER POND;RÉSIDENCE DE TOURISME;15 avenue du lagon Oyster-Pond, 97150, SAINT-MARTIN;;;O;5
DOMAINE DE FIGUIERES;RÉSIDENCE DE TOURISME;103 route du Muy , 83120, SAINTE MAXIME;;;O;5
ODALYS DOMAINE DES EUCALYPTUS;RÉSIDENCE DE TOURISME;352 RD 7 LES CHATEAUX DE VILLEPEY, 83370, SAINT AYGULF;;;O;5
LES CLAIRMONTELLES;RÉSIDENCE DE TOURISME;LES CLAIRMONTELLES, 1130, LE POIZAT;;;O;5
LE FONSERANE;RÉSIDENCE DE TOURISME;190 RUE DES CHRISTOLS, 34500, BEZIERS;;;O;5
GOËLIA LES PORTES D'HONFLEUR ;RÉSIDENCE DE TOURISME;1300 ROUTE DE HONFLEUR, 27210, BOULLEVILLE;;;O;5
RESIDENCE MARINA DI PINARELLO;RÉSIDENCE DE TOURISME;LIEU-DIT VARDIOLA / TESTA, 20144, ZONZA - SAINTE LUCIE DE PORTO VECCHIO;;;O;5
RESIDENCE PLEIN SOLEIL;RÉSIDENCE DE TOURISME;ROUTE DE SCOLETTE, 73500, AVRIEUX;;;O;5
RESIDENCE U FRUSTERU;RÉSIDENCE DE TOURISME;5 QUARTIER PINEDDA, 20110, PROPRIANO;;;O;5
RESIDENCE U PIRELLU;RÉSIDENCE DE TOURISME;ROUTE DE PALOMBAGGIA, 20137, PORTO VECCHIO;;;O;5
RESIDENCE DE L'OCEAN;RÉSIDENCE DE TOURISME;49 RUE ANATOLE FRANCE, 85360, LA TRANCHE SUR MER;;;O;5
LES JARDINS DE LA BERGERIE;RÉSIDENCE DE TOURISME;ROUTE DU COLLET CHATEAU D'ANCELLE, 5260, ANCELLE;;;O;5
RESIDENCE TIVOLI;RÉSIDENCE DE TOURISME;170 AVENUE DE LA TRAINIERE, 30240, LE GRAU DU ROI;;;O;5
DOMAINE SAINT PIERRE;RÉSIDENCE DE TOURISME;DOMAINE SAINT PIERRE, 20130, CARGESE;;;O;5
