iderp;nom;activite;adresse;lat;lon;type;categorie
;SOURDIERE;Maternelle;27 RUE DE LA SOURDIERE;48.866693; 2.3327;R;
;DUSSOUBS;Maternelle;12 RUE DUSSOUBS;48.865104; 2.348671;R;
;ETIENNE MARCEL;Polyvalente;20 RUE ETIENNE MARCEL;48.864187; 2.348103;R;
;CHAPON;Maternelle;25 RUE CHAPON;48.863623; 2.35516;R;
;VERTUS;Elementaire;8 RUE DES VERTUS;48.864174; 2.357887;R;
;ARCHIVES;Maternelle;40 RUE DES ARCHIVES;48.85898; 2.355974;R;
;TOURNELLES;Elementaire;21 RUE DES TOURNELLES;48.855146; 2.367237;R;
;HOSPITAL. ST GERVAIS;Elementaire;10 R HOSPITALIERES ST GERVAIS;48.858022; 2.359045;R;
;ROLLIN;Elementaire;10 RUE ROLLIN;48.84475; 2.350841;R;
;ST JACQUES;Maternelle;242 RUE SAINT JACQUES;48.844074; 2.341791;R;
;SOMMERARD;Maternelle;10 RUE DU SOMMERARD;48.849946; 2.34686;R;
;JARDINET;Elementaire;7 RUE DU JARDINET;48.852692; 2.339941;R;
;MADAME;Maternelle;40 RUE MADAME;48.849255; 2.331663;R;
;PAUL BAUDRY;Polyvalente;10 RUE PAUL BAUDRY;48.87234; 2.307394;R;
;ROBERT ESTIENNE;Polyvalente;8 RUE ROBERT ESTIENNE;48.868663; 2.305083;R;
;BRUXELLES;Elementaire;32 RUE DE BRUXELLES;48.882985; 2.328757;R;
;RODIER;Maternelle;30 RUE RODIER;48.878696; 2.342999;R;
;ROCHECHOUART;Maternelle;68 RUE DE ROCHECHOUART;48.881378; 2.346593;R;
;BELZUNCE;Elementaire;3 RUE DE BELZUNCE;48.879192; 2.352827;R;
;LAFAYETTE      B;Elementaire;216B RUE LAFAYETTE;;;R;
;PARADIS;Maternelle;20 RUE DE PARADIS;48.874806; 2.353481;R;
;ST MAUR;Elementaire;200 RUE SAINT MAUR;48.872242; 2.371675;R;
;EUGENE VARLIN;Polyvalente;10 RUE EUGENE VARLIN;48.878343; 2.364765;R;
;VICQ D'AZIR;Polyvalente;16 RUE VICQ D'AZIR;48.876069; 2.370545;R;
;LOUIS BLANC;Maternelle;49 RUE LOUIS BLANC;48.882264; 2.362784;R;
;ALEXANDRE DUMAS;Elementaire;39 RUE ALEXANDRE DUMAS;48.853745; 2.393242;R;
;ALPHONSE BAUDIN;Elementaire;17 RUE ALPHONSE BAUDIN;48.860908; 2.370284;R;
;BOUVINES;Elementaire;4 AVENUE DE BOUVINES;48.849849; 2.396499;R;
;KELLER;Elementaire;4 RUE KELLER;48.853623; 2.376853;R;
;FAIDHERBE;Maternelle;18 RUE FAIDHERBE;48.851602; 2.383955;R;
;PARMENTIER    B;Maternelle;11B AVENUE PARMENTIER;48.864137; 2.375492;R;
;PARMENTIER;Maternelle;111 AVENUE PARMENTIER;48.867945; 2.372377;R;
;ST BERNARD;Elementaire;31 RUE SAINT BERNARD;48.852711; 2.380878;R;
;ST MAUR        A;Elementaire;22 RUE SAINT MAUR;48.860315; 2.382034;R;
;REPUBLIQUE;Elementaire;98 AVENUE DE LA REPUBLIQUE;48.863745; 2.382334;R;
;TITON;Elementaire;14 RUE TITON;48.851646; 2.386472;R;
;BERCY;Elementaire;165 RUE DE BERCY;48.842551; 2.375456;R;
;BIGNON;Elementaire;4 RUE BIGNON;48.840428; 2.388511;R;
;ARNOLD NETTER;Maternelle;42 AVENUE DU DR ARNOLD NETTER;48.84369; 2.405622;R;
;JEAN BOUTON;Maternelle;7 RUE JEAN BOUTON;48.845492; 2.377068;R;
;LAMORICIERE       B;Elementaire;8 AVENUE LAMORICIERE;48.844726; 2.412248;R;
;LAMORICIERE        A;Elementaire;10 AVENUE LAMORICIERE;48.844859; 2.412332;R;
;POMMARD;Elementaire;4 RUE DE POMMARD;48.835712; 2.385041;R;
;REUILLY;Elementaire;27 RUE DE REUILLY;48.847964; 2.386407;R;
;REUILLY        A;Elementaire;57 RUE DE REUILLY (ECOLE A);48.845778; 2.388551;R;
;MONTEMPOIVRE;Polyvalente;16 RUE DE MONTEMPOIVRE;48.840136; 2.407002;R;
;LACHAMBEAUDIE;Maternelle;2 PLACE LACHAMBEAUDIE;48.835568; 2.386412;R;
