iderp;nom;activite;adresse;lat;lon;type;categorie
;Bibliothèque Aimé Césaire;Bibliothèques municipales de prêt et spécialisées;5 rue de Ridder;48.8312301;2.31177260000004;S;
;Bibliothèque Amélie;Bibliothèques municipales de prêt et spécialisées;164 rue de Grenelle;48.8580523;2.30896959999995;S;
;Bibliothèque André Malraux;Bibliothèques municipales de prêt et spécialisées;112 rue de Rennes;48.8479847;2.32724640000004;S;
;Bibliothèque Andrée Chedid;Bibliothèques municipales de prêt et spécialisées;36 rue Emeriau;48.849937;2.28642790000004;S;
;Bibliothèque Arthur Rimbaud;Bibliothèques municipales de prêt et spécialisées;2 place Baudoyer (mairie du 4e);48.8561982;2.35567479999997;S;
;Bibliothèque Batignolles;Bibliothèques municipales de prêt et spécialisées;18, rue des Batignolles;48.8843821;2.32187190000002;S;
;Bibliothèque Benjamin Rabier;Bibliothèques municipales de prêt et spécialisées;141, avenue de Flandre;48.8927759;2.3791281;S;
;Bibliothèque Buffon;Bibliothèques municipales de prêt et spécialisées;15 Bis rue Buffon;48.8430757873937;2.36259834550788;S;
;Bibliothèque Chaptal;Bibliothèques municipales de prêt et spécialisées;26, rue Chaptal;48.881101;2.33234049999999;S;
;Bibliothèque Charlotte Delbo;Bibliothèques municipales de prêt et spécialisées;2, passage des Petits Pères;48.8665089;2.34028060000003;S;
;Bibliothèque Château d'eau;Bibliothèques municipales de prêt et spécialisées;72 rue du Faubourg Saint-Martin;48.8718362;2.35729200000003;S;
;Bibliothèque Claude Lévi-Strauss;Bibliothèques municipales de prêt et spécialisées;41, avenue de Flandre;48.8867191;2.37134279999998;S;
;Bibliothèque Colette Vivier;Bibliothèques municipales de prêt et spécialisées;6 rue Fourneyron;48.8898777;2.31927210000003;S;
;Bibliothèque Courcelles;Bibliothèques municipales de prêt et spécialisées;17ter, avenue Beaucour;48.8778815;2.30306889999997;S;
;Bibliothèque Couronnes - Naguib Mahfouz;Bibliothèques municipales de prêt et spécialisées;66 rue des Couronnes;48.8701521;2.38425359999997;S;
;Bibliothèque Crimée;Bibliothèques municipales de prêt et spécialisées;42 rue Petit;48.8848972;2.38294189999999;S;
;Bibliothèque de l'Hôtel de Ville (BHdV);Bibliothèques municipales spécialisées;5 rue Lobau;48.8569384;2.35381329999996;S;
;Bibliothèque de la Maison de Balzac;Bibliothèques municipales spécialisées;47 rue Raynouard ;48.855427;2.280752;S;
;Bibliothèque de la maison du jardinage;Bibliothèques municipales spécialisées;41, rue Paul Belmondo;48.8366;2.38246500000002;S;
;Bibliothèque de la Maison Paris nature;Bibliothèques municipales de prêt et spécialisées;Parc Floral;48.8394205971395;2.44237119580077;S;
;Bibliothèque des Archives de Paris;Bibliothèques municipales spécialisées;18 boulevard Sérurier;48.877907;2.405524;S;
;Bibliothèque des conservatoires de la Ville de Paris (BCVP);Bibliothèques municipales de prêt et spécialisées;12 place carrée ;48.863338;2.344948;S;
;Bibliothèque des littératures policières (BiLiPo);Bibliothèques municipales spécialisées;48 rue Cardinal Lemoine;48.8465444;2.3513997;S;
;Bibliothèque Diderot;Bibliothèques municipales de prêt et spécialisées;42 avenue Daumesnil;48.8460522;2.37762789999999;S;
;Bibliothèque Drouot;Bibliothèques municipales de prêt et spécialisées;11  rue Drouot;48.8734316;2.34043729999996;S;
;Bibliothèque Du Breuil;Bibliothèques municipales spécialisées;Route de la ferme (Bois de Vincennes);48.8329471;2.4341723;S;
;Bibliothèque du cinéma François Truffaut;Bibliothèques municipales de prêt et spécialisées;4 rue du cinéma (Forum des Halles);48.862552993766;2.34746771917116;S;
;Bibliothèque du tourisme et des voyages - Germaine Tillion (BTV);Bibliothèques municipales spécialisées;6 rue du Commandant Schloesing;48.8618631;2.2845532;S;
;Bibliothèque Europe;Bibliothèques municipales de prêt et spécialisées;3 rue de Lisbonne;48.8777165;2.31753779999997;S;
;Bibliothèque Faidherbe;Bibliothèques municipales de prêt et spécialisées;18 rue Faidherbe;48.8515538;2.38396369999998;S;
;Bibliothèque Fessart;Bibliothèques municipales de prêt et spécialisées;6 rue Fessart;48.8762647;2.38812899999994;S;
;Bibliothèque Forney;Bibliothèques municipales spécialisées;1 rue du Figuier;48.8533772;2.35936600000002;S;
;Bibliothèque François Villon;Bibliothèques municipales de prêt et spécialisées;81, boulevard de la Villette;48.8771491;2.37075089999996;S;
;Bibliothèque Georges Brassens;Bibliothèques municipales de prêt et spécialisées;38 rue Gassendi;48.8337931;2.32590549999998;S;
;Bibliothèque Germaine Tillion;Bibliothèques municipales de prêt et spécialisées;6 rue du Commandant Schloesing;48.8618631;2.2845532;S;
;Bibliothèque Glacière - Marina Tsvetaïeva;Bibliothèques municipales de prêt et spécialisées;132 rue de la Glacière;48.8267484;2.34192940000003;S;
;Bibliothèque Goutte d'Or;Bibliothèques municipales de prêt et spécialisées;2 rue Fleury;48.8842937;2.35412589999999;S;
;Bibliothèque Gutenberg;Bibliothèques municipales de prêt et spécialisées;8 rue de la Montagne d\'Aulas;48.8402996;2.27854100000002;S;
;Bibliothèque Hergé;Bibliothèques municipales de prêt et spécialisées;2 rue du Département;48.8849769;2.36735829999998;S;
;Bibliothèque Historique de la Ville de Paris (BHVP);Bibliothèques municipales spécialisées;24 rue Pavée;48.8571475;2.36168559999999;S;
;Bibliothèque Italie;Bibliothèques municipales de prêt et spécialisées;211 Boulevard Vincent Auriol;48.830891;2.35640390000003;S;
;Bibliothèque Jacqueline de Romilly;Bibliothèques municipales de prêt et spécialisées;16 avenue de la Porte Montmartre;48.8991509;2.33629459999997;S;
;Bibliothèque L'Heure joyeuse;Bibliothèques municipales de prêt et spécialisées;6-12 rue des Prêtres Saint-Séverin;48.8518325;2.34494040000004;S;
;Bibliothèque Lancry;Bibliothèques municipales de prêt et spécialisées;11 rue de Lancry;48.869387;2.36010799999997;S;
;Bibliothèque Louise Michel;Bibliothèques municipales de prêt et spécialisées;29 / 35 rue des Haies;48.8533782;2.40146170000003;S;
;Bibliothèque Louvre;Bibliothèques municipales de prêt et spécialisées;4 Place du Louvre (Mairie du 1er);48.860081;2.34097870000005;S;
;Bibliothèque Marguerite Audoux;Bibliothèques municipales de prêt et spécialisées;10 rue Portefoin;48.8636243;2.36014639999996;S;
;Bibliothèque Marguerite Durand (BMD);Bibliothèques municipales spécialisées;79 rue Nationale;48.8269976;2.36650120000002;S;
