iderp;nom;activite;adresse;lat;lon;type;categorie
;Cathédrale Saint-Alexandre-Nevsky de Paris;Cathédrale;;48.8776;2.30197;V;
;Prieuré Saint-Martin-des-Champs;Prieuré;;48.866;2.35508;V;
;Église Saint-Léon de Paris;Paroisse;;48.851;2.29633;V;
;Couvent de la Reine;Couvent;;48.8069;2.13722;V;
;Église Notre-Dame-de-Bonne-Nouvelle de Paris;Église;;48.8696;2.34986;V;
;Église Saint-Jacques-Saint-Christophe de la Villette;Paroisse;;48.8892;2.37964;V;
;Église Saint-Jean-Baptiste de Belleville;Paroisse;;48.8757;2.3893;V;
;Église Saint-Pierre-Saint-Paul de Courbevoie;Paroisse;;48.8966;2.25734;V;
;Église Sainte-Odile de Paris;Paroisse;;48.8871;2.29297;V;
;Chapelle Notre-Dame-de-la-Sagesse;Église_paroissiale;;48.8357;2.37347;V;
;Synagogue Don Isaac Abravanel;Synagogue;;48.856;2.37625;V;
;Église Saint-Lambert de Vaugirard;Paroisse;;48.8396;2.29825;V;
;Église Saint-Luc de Paris;Paroisse;;48.8937;2.37542;V;
;Église Sainte-Jeanne-de-Chantal;Paroisse;;48.8387;2.25614;V;
;Synagogue Chivtei Israël;Synagogue;;48.8436;2.38611;V;
;Église Notre-Dame-de-l'Assomption de Crosne;Église_(édifice);;48.7149;2.46089;V;
;Église Saint-Denis de Wissous;Église_(édifice);;48.7312;2.32721;V;
;Chapelle de Jésus-Enfant;Chapelle;;48.859;2.31838;V;
;Cathédrale Sainte-Croix de Paris des Arméniens;Cathédrale;;48.8609;2.36058;V;
;Cathédrale des Trois-Saints-Docteurs de Paris;Cathédrale;;48.8408;2.29944;V;
;Église Notre-Dame-de-l'Assomption de Rungis;Église_(édifice);;48.7473;2.35001;V;
;Église Saint-Louis de Garches;Paroisse;;48.8448;2.18798;V;
;Église Saint-Saturnin de Nogent-sur-Marne;Église_(édifice);;48.8371;2.48736;V;
;Église du Cœur-immaculé-de-Marie de Suresnes;Église_(édifice);;48.8717;2.22757;V;
;Cathédrale Saint-Étienne de Paris;Cathédrale;;48.8531;2.34972;V;
;Chapelle Saint-Christophe de Paris;Chapelle;;48.8531;2.34972;V;
;Église protestante unie de l'Étoile;Paroisse;;48.8767;2.28696;V;
;Église Notre-Dame de Malakoff;Paroisse;;48.8202;2.30538;V;
;Église Saint-Pierre-et-Saint-Paul de Sarcelles;Église_(édifice);;48.997;2.37918;V;
;Église du Saint-Esprit de Viry-Châtillon;Église_paroissiale;;48.679;2.37567;V;
;Basilique Saint-Denis;Abbatiale;;48.9356;2.35972;V;
;Synagogue de la rue Pavée;Synagogue;;48.856;2.36049;V;
;Église Saint-Augustin de Paris;Paroisse;;48.8758;2.31914;V;
