iderp;nom;activite;adresse;lat;lon;type;categorie
;GYMNASE SUZANNE BERLIOUX;Salle multisports;117 RUE RAMBUTEAU 75001;48.86181; 2.34679;X;
;CENTRE D'ETUDE D'ACTION SOCIALE ET CULTURELLE;Salle de danse;23 RUE DE LA SOURDIERE 75001;48.86656; 2.33264;X;
;GYMNASE SUZANNE BERLIOUX;Salle multisports;117 RUE RAMBUTEAU 75001;48.86181; 2.34679;X;
;GYMNASE SUZANNE BERLIOUX;Salle multisports;117 RUE RAMBUTEAU 75001;48.86181; 2.34679;X;
;GYMNASE SUZANNE BERLIOUX;Salle multisports;117 RUE RAMBUTEAU 75001;48.86181; 2.34679;X;
;UNIVERS GYM PARIS;Salle de musculation/cardiotraining;20-22 RUE DES BONS ENFANTS 75001;48.86347; 2.3386;X;
;GYMNASE SUZANNE BERLIOUX;Salle multisports;117 RUE RAMBUTEAU 75001;48.86181; 2.34679;X;
;GYMNASE SUZANNE BERLIOUX;Salle multisports;117 RUE RAMBUTEAU 75001;48.86181; 2.34679;X;
;RITZ HEALTH CLUB;Salle ou terrain de squash;17 PLACE VENDOME 75001;48.86797; 2.32891;X;
;GYMNASE SUZANNE BERLIOUX;Salles polyvalentes / des fêtes / non spécialisées;117 RUE RAMBUTEAU 75001;48.86181; 2.34679;X;
;CENTRE SPORTIF JEAN DAME;Salle multisports;17 RUE LéOPOLD BELLAN 75002;48.86658; 2.34527;X;
;BNP PARIBAS;Salle de musculation/cardiotraining;3 RUE LOUIS LE GRAND 75002;48.86824; 2.33196;X;
;CENTRE SPORTIF JEAN DAME;Salle multisports;17 RUE LéOPOLD BELLAN 75002;48.86658; 2.34527;X;
;CENTRE SPORTIF JEAN DAME;Salle multisports;17 RUE LéOPOLD BELLAN 75002;48.86658; 2.34527;X;
;ASSOCIATION SPORTIVE DE LA BANQUE DE FRANCE;Salle multisports;4 RUE MARSOLLIER 75002;48.86763; 2.33481;X;
;ASSOCIATION SPORTIVE DE LA BANQUE DE FRANCE;Salle multisports;4 RUE MARSOLLIER 75002;48.86763; 2.33481;X;
;ASSOCIATION SPORTIVE DE LA BANQUE DE FRANCE;Salle multisports;4 RUE MARSOLLIER 75002;48.86763; 2.33481;X;
;FITNESS CLUB BOURSE;Salle de musculation/cardiotraining;24 RUE FEYDEAU 75002;48.86991; 2.34038;X;
;CENTRE SPORTIF JEAN DAME;Dojo / Salle d'arts martiaux;17 RUE LéOPOLD BELLAN 75002;48.86658; 2.34527;X;
;CENTRE SPORTIF JEAN DAME;Salle multisports;17 RUE LéOPOLD BELLAN 75002;48.86658; 2.34527;X;
;MAGENIA - ECOLE ELLA JAROSZEWICZ;Salle de danse;16 RUE SAINT MARC 75002;48.87043; 2.34052;X;
;MAGENIA - ECOLE ELLA JAROSZEWICZ;Salle de danse;16 RUE SAINT MARC 75002;48.87043; 2.34052;X;
;ASSOCIATION SPORTIVE DE LA BANQUE DE FRANCE;Dojo / Salle d'arts martiaux;4 RUE MARSOLLIER 75002;48.86763; 2.33481;X;
;CENTRE SPORTIF JEAN DAME;Salle de boxe;17 RUE LéOPOLD BELLAN 75002;48.86658; 2.34527;X;
;CENTRE SPORTIF JEAN DAME;Salle de gymnastique sportive;17 RUE LéOPOLD BELLAN 75002;48.86658; 2.34527;X;
;ASSOCIATION SPORTIVE DE LA BANQUE DE FRANCE;Salle de tennis de table;4 RUE MARSOLLIER 75002;48.86763; 2.33481;X;
;EURO MEN'S CLUB;Bassin ludique de natation;10 RUE ST MARC 75002;48.87035; 2.34144;X;
;L'USINE;Salle de musculation/cardiotraining;8 rue de la Michodière 75002;48.86931; 2.33453;X;
;L'USINE;Salle de musculation/cardiotraining;8 rue de la Michodière 75002;48.86931; 2.33453;X;
;L'USINE;Salle de cours collectifs;8 rue de la Michodière 75002;48.86931; 2.33453;X;
;ECOLE BERANGER;Salle multisports;3 RUE BERANGER 75003;48.86485; 2.36454;X;
;ECOLE BERANGER;Salle multisports;3 RUE BERANGER 75003;48.86485; 2.36454;X;
;SUN CITY;Bassin ludique de natation;62 BOULEVARD DE SEBASTOPOL 75003;48.86384; 2.35138;X;
;ECOLE BERANGER;Salle multisports;3 RUE BERANGER 75003;48.86485; 2.36454;X;
;CARREAU DU TEMPLE;Plateau EPS/Multisports/city-stades;2 RUE PERREE 75003;48.86397; 2.36208;X;
;CARREAU DU TEMPLE;Plateau EPS/Multisports/city-stades;2 RUE PERREE 75003;48.86397; 2.36208;X;
;GYMNASE MICHEL LE COMTE;Salle multisports;14 RUE MICHEL LE COMTE 75003;48.86214; 2.35638;X;
;GYMNASE MICHEL LE COMTE;Salle multisports;14 RUE MICHEL LE COMTE 75003;48.86214; 2.35638;X;
;GYMNASE MICHEL LE COMTE;Salle multisports;14 RUE MICHEL LE COMTE 75003;48.86214; 2.35638;X;
;CARREAU DU TEMPLE;Plateau EPS/Multisports/city-stades;2 RUE PERREE 75003;48.86397; 2.36208;X;
;LYCEE TURGOT;Salle multisports;69 RUE DE TURBIGO 75003;48.86637; 2.35871;X;
;COLLEGE VICTOR HUGO (bis);Salle multisports;11 RUE BARBETTE 75003;48.85893; 2.36054;X;
